popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
77,6,7,7,10,2,0,1,0,1,2,4,1,4
78,6,7,0,9,1,0,0,0,1,7,4,1,4
56,6,6,0,9,2,0,0,0,3,4,6,1,4
55,7,6,9,9,1,1,2,0,1,2,5,1,4
74,5,8,6,9,2,0,0,0,1,5,3,1,4
73,5,8,0,10,2,0,0,0,1,7,4,1,4
55,8,7,4,9,2,1,0,0,1,5,5,1,4
76,8,5,9,9,1,0,3,0,0,4,4,1,4
79,2,2,4,8,2,0,9,0,0,1,3,1,2
55,7,7,9,9,1,0,0,0,0,4,6,1,4
74,6,4,3,9,1,1,2,0,0,4,6,1,4
74,9,7,0,9,2,1,0,0,1,5,5,1,4
54,7,6,7,9,1,0,0,0,3,2,4,1,4
77,5,4,0,8,2,0,8,0,0,2,6,1,4
76,9,5,9,9,1,3,1,0,0,5,6,1,4
77,7,6,9,9,1,1,1,0,0,4,4,1,4
53,7,6,0,9,1,1,0,0,2,5,6,1,4
83,6,8,7,9,2,1,2,0,0,5,5,1,4
83,3,3,5,8,2,0,8,0,1,1,8,1,3
75,6,7,6,9,2,2,1,0,1,6,3,1,4
77,7,8,4,10,1,0,1,0,1,9,5,1,4
73,7,5,1,9,1,7,0,0,0,4,7,1,4
75,7,6,4,10,2,2,2,0,1,6,5,1,4
77,7,7,5,9,2,0,4,0,3,7,4,1,4
72,5,6,1,9,1,3,4,0,1,6,5,1,5
65,4,9,9,9,1,0,0,2,3,3,5,1,4
91,8,7,0,10,2,0,1,0,0,7,4,1,4
73,5,7,0,9,2,0,5,0,0,6,3,1,4
85,8,6,4,9,1,0,2,0,1,3,4,1,4
86,7,6,9,9,1,2,7,0,1,7,7,1,4
72,8,3,6,8,2,3,5,0,2,4,5,1,4
87,6,9,6,10,2,0,0,0,1,7,4,1,4
74,8,6,0,10,2,1,4,0,0,4,3,1,2
74,7,5,0,9,2,0,1,0,0,2,4,1,4
73,6,7,8,10,2,0,0,0,1,7,4,1,4
73,8,7,1,10,2,3,0,0,2,3,5,1,5
75,6,6,6,9,1,3,1,0,0,4,3,1,4
74,7,4,1,9,1,0,3,0,1,4,3,1,4
77,6,7,0,10,1,0,1,0,1,3,3,1,4
79,5,4,8,8,1,0,8,0,1,2,5,1,4
75,7,3,5,8,2,0,5,0,4,8,7,1,4
73,5,5,8,8,2,1,0,0,2,3,5,1,4
76,6,6,9,9,1,1,4,0,2,4,4,1,4
77,5,6,9,9,1,4,1,0,0,5,5,1,5
73,8,5,0,9,1,0,0,0,2,4,6,1,4
80,7,8,1,10,2,2,3,0,3,5,6,1,4
